onset	duration	stimulus	Var4
0	2	218	tool
8	2	121	animal
16	2	110	animal
24	2	109	animal
32	2	206	tool
40	2	113	animal
48	2	210	tool
56	2	202	tool
64	2	114	animal
72	2	207	tool
80	2	219	tool
88	2	122	animal
96	2	218	tool
104	2	109	animal
112	2	121	animal
120	2	219	tool
128	2	206	tool
136	2	113	animal
144	2	110	animal
152	2	122	animal
160	2	210	tool
168	2	202	tool
176	2	207	tool
184	2	114	animal
192	2	219	tool
200	2	109	animal
208	2	121	animal
216	2	206	tool
224	2	113	animal
232	2	122	animal
240	2	218	tool
248	2	110	animal
256	2	202	tool
264	2	207	tool
272	2	210	tool
280	2	114	animal
